Python 3.11.4 (tags/v3.11.4:d2340ef, Jun  7 2023, 05:45:37) [MSC v.1934 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: C:\Users\diego\Desktop\endpointsV2.py
(4000, '07-de-abril'),
(4001, '09-de-abril'),
(4002, '11-de-abril'),
(4003, '14-de-abril'),
(4004, '16-de-abril'),
(4005, '18-de-abril'),
(4006, '21-de-abril'),
(4007, '23-de-abril'),
(4008, '25-de-abril'),
(4009, '28-de-abril'),
(4010, '30-de-abril'),
(4011, '02-de-mayo'),
(4012, '05-de-mayo'),
(4013, '07-de-mayo'),
(4014, '09-de-mayo'),
(4015, '12-de-mayo'),
(4016, '14-de-mayo'),
(4017, '16-de-mayo'),
(4018, '19-de-mayo'),
(4019, '21-de-mayo'),
(4020, '23-de-mayo'),
(4021, '26-de-mayo'),
(4022, '28-de-mayo'),
(4023, '30-de-mayo'),
(4024, '02-de-junio'),
(4025, '04-de-junio'),
(4026, '06-de-junio'),
(4027, '09-de-junio'),
(4028, '11-de-junio'),
(4029, '13-de-junio'),
(4030, '16-de-junio'),
(4031, '18-de-junio'),
(4032, '20-de-junio'),
(4033, '23-de-junio'),
(4034, '25-de-junio'),
(4035, '27-de-junio'),
(4036, '30-de-junio'),
(4037, '02-de-julio'),
(4038, '04-de-julio'),
(4039, '07-de-julio'),
(4040, '09-de-julio'),
(4041, '11-de-julio'),
(4042, '14-de-julio'),
(4043, '16-de-julio'),
(4044, '18-de-julio'),
(4045, '21-de-julio'),
(4046, '23-de-julio'),
(4047, '25-de-julio'),
(4048, '28-de-julio'),
(4049, '30-de-julio'),
(4050, '01-de-agosto'),
(4051, '04-de-agosto'),
(4052, '06-de-agosto'),
(4053, '08-de-agosto'),
(4054, '11-de-agosto'),
(4055, '13-de-agosto'),
(4056, '15-de-agosto'),
(4057, '18-de-agosto'),
(4058, '20-de-agosto'),
(4059, '22-de-agosto'),
(4060, '25-de-agosto'),
(4061, '27-de-agosto'),
(4062, '29-de-agosto'),
(4063, '01-de-septiembre'),
(4064, '03-de-septiembre'),
(4065, '05-de-septiembre'),
(4066, '08-de-septiembre'),
(4067, '10-de-septiembre'),
(4068, '12-de-septiembre'),
(4069, '15-de-septiembre'),
(4070, '17-de-septiembre'),
(4071, '19-de-septiembre'),
(4072, '22-de-septiembre'),
(4073, '24-de-septiembre'),
(4074, '26-de-septiembre'),
(4075, '29-de-septiembre'),
(4076, '01-de-octubre'),
(4077, '03-de-octubre'),
(4078, '06-de-octubre'),
(4079, '08-de-octubre'),
(4080, '10-de-octubre'),
(4081, '13-de-octubre'),
(4082, '15-de-octubre'),
(4083, '17-de-octubre'),
(4084, '20-de-octubre'),
(4085, '22-de-octubre'),
(4086, '24-de-octubre'),
(4087, '27-de-octubre'),
(4088, '29-de-octubre'),
(4089, '31-de-octubre'),
(4090, '03-de-noviembre'),
(4091, '05-de-noviembre'),
(4092, '07-de-noviembre'),
(4093, '10-de-noviembre'),
(4094, '12-de-noviembre'),
(4095, '14-de-noviembre'),
(4096, '17-de-noviembre'),
(4097, '19-de-noviembre'),
(4098, '21-de-noviembre'),
(4099, '24-de-noviembre'),
(4100, '26-de-noviembre'),
(4101, '28-de-noviembre'),
(4102, '01-de-diciembre'),
(4103, '03-de-diciembre'),
(4104, '05-de-diciembre'),
(4105, '08-de-diciembre'),
(4106, '10-de-diciembre'),
(4107, '12-de-diciembre'),
(4108, '15-de-diciembre'),
(4109, '17-de-diciembre'),
(4110, '19-de-diciembre'),
(4111, '22-de-diciembre'),
(4112, '24-de-diciembre'),
(4113, '26-de-diciembre'),
(4114, '29-de-diciembre'),
(4115, '31-de-diciembre'),
(4116, '02-de-enero'),
(4117, '05-de-enero'),
(4118, '07-de-enero'),
(4119, '09-de-enero'),
(4120, '12-de-enero'),
(4121, '14-de-enero'),
(4122, '16-de-enero'),
(4123, '19-de-enero'),
(4124, '21-de-enero'),
(4125, '23-de-enero'),
(4126, '26-de-enero'),
(4127, '28-de-enero'),
(4128, '30-de-enero'),
(4129, '02-de-febrero'),
(4130, '04-de-febrero'),
(4131, '06-de-febrero'),
(4132, '09-de-febrero'),
(4133, '11-de-febrero'),
(4134, '13-de-febrero'),
(4135, '16-de-febrero'),
(4136, '18-de-febrero'),
(4137, '20-de-febrero'),
(4138, '23-de-febrero'),
(4139, '25-de-febrero'),
(4140, '27-de-febrero'),
(4141, '02-de-marzo'),
(4142, '04-de-marzo'),
(4143, '06-de-marzo'),
(4144, '09-de-marzo'),
(4145, '11-de-marzo'),
(4146, '13-de-marzo'),
(4147, '16-de-marzo'),
(4148, '18-de-marzo'),
(4149, '20-de-marzo'),
(4150, '23-de-marzo'),
(4151, '25-de-marzo'),
(4152, '27-de-marzo'),
(4153, '30-de-marzo'),
(4154, '01-de-abril'),
(4155, '03-de-abril'),
(4156, '06-de-abril'),
(4157, '08-de-abril'),
(4158, '10-de-abril'),
(4159, '13-de-abril'),
(4160, '15-de-abril'),
(4161, '17-de-abril'),
(4162, '20-de-abril'),
(4163, '22-de-abril'),
(4164, '24-de-abril'),
(4165, '27-de-abril'),
(4166, '29-de-abril'),
(4167, '01-de-mayo'),
(4168, '04-de-mayo'),
(4169, '06-de-mayo'),
(4170, '08-de-mayo'),
(4171, '11-de-mayo'),
(4172, '13-de-mayo'),
(4173, '15-de-mayo'),
(4174, '18-de-mayo'),
(4175, '20-de-mayo'),
(4176, '22-de-mayo'),
(4177, '25-de-mayo'),
(4178, '27-de-mayo'),
(4179, '29-de-mayo'),
(4180, '01-de-junio'),
(4181, '03-de-junio'),
(4182, '05-de-junio'),
(4183, '08-de-junio'),
(4184, '10-de-junio'),
(4185, '12-de-junio'),
(4186, '15-de-junio'),
(4187, '17-de-junio'),
(4188, '19-de-junio'),
(4189, '22-de-junio'),
(4190, '24-de-junio'),
(4191, '26-de-junio'),
(4192, '29-de-junio'),
(4193, '01-de-julio'),
(4194, '03-de-julio'),
(4195, '06-de-julio'),
(4196, '08-de-julio'),
(4197, '10-de-julio'),
(4198, '13-de-julio'),
(4199, '15-de-julio'),
(4200, '17-de-julio'),
(4201, '20-de-julio'),
(4202, '22-de-julio'),
(4203, '24-de-julio'),
(4204, '27-de-julio'),
(4205, '29-de-julio'),
(4206, '31-de-julio'),
(4207, '03-de-agosto'),
(4208, '05-de-agosto'),
(4209, '07-de-agosto'),
(4210, '10-de-agosto'),
(4211, '12-de-agosto'),
(4212, '14-de-agosto'),
(4213, '17-de-agosto'),
(4214, '19-de-agosto'),
(4215, '21-de-agosto'),
(4216, '24-de-agosto'),
(4217, '26-de-agosto'),
(4218, '28-de-agosto'),
(4219, '31-de-agosto'),
(4220, '02-de-septiembre'),
(4221, '04-de-septiembre'),
(4222, '07-de-septiembre'),
(4223, '09-de-septiembre'),
